uid,namedLocation,domainID,siteID,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,plotType,nlcdClass,plotID,subplotID,endDate,boutNumber,eventID,samplingProtocolVersion,divDataType,targetTaxaPresent,otherVariablesPresent,taxonID,scientificName,taxonRank,family,nativeStatusCode,identificationQualifier,taxonIDRemarks,morphospeciesID,morphospeciesIDRemarks,identificationReferences,identificationHistoryID,otherVariables,percentCover,heightPlantOver300cm,heightPlantSpecies,remarks,measuredBy,recordedBy,samplingImpractical,samplingImpracticalRemarks,biophysicalCriteria
"b7e1751b-e5d4-4c0c-b0dd-ecd220331d84","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","32_1_4","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","SCSC","Schizachyrium scoparium (Michx.) Nash","species","Poaceae","N",,,,,,,,7.00,"N",,,"0000-0002-2135-1091","0009-0008-1640-2860","OK",,"OK - no known exceptions"
"28a24402-0210-4092-bf4a-fd56744f9114","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","40_1_3","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","LEVI6","Lespedeza violacea (L.) Pers.","species","Fabaceae","N",,,,,,,,8.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
"e67285f0-fc1a-465c-acf8-9ec33e6a2eec","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","41_1_4","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","LECA8","Lespedeza capitata Michx.","species","Fabaceae","N",,,,,,,,1.00,"N",,,"0000-0002-2135-1091","0009-0008-1640-2860","OK",,"OK - no known exceptions"
"c75445ef-201d-4259-9125-f3afceb3d082","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","40_1_1","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","otherVariables","Y","Y",,,,,,,,,,,,"rock",2.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
"b15be7f3-345d-4c02-a9b1-e7488eaf962d","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","40_1_3","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","SPHE","Sporobolus heterolepis (A. Gray) A. Gray","species","Poaceae","N",,,,,,,,4.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
"11bf751d-7261-4c16-9a33-46199cfe6e20","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","32_1_2","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","ANGE","Andropogon gerardii Vitman","species","Poaceae","N",,,,,,,,10.00,"N",,,"0000-0002-2135-1091","0009-0008-1640-2860","OK",,"OK - no known exceptions"
"6e028067-f260-4f71-aac8-3c6b5dbad366","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","41_1_4","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","DACA7","Dalea candida Michx. ex Willd.","species","Fabaceae","N",,,,,,,,0.50,"N",,,"0000-0002-2135-1091","0009-0008-1640-2860","OK",,"OK - no known exceptions"
"299a807e-ebfe-4c27-a291-6881ff7ee6ab","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","31_1_1","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","SONU2","Sorghastrum nutans (L.) Nash","species","Poaceae","N",,,,,,,,5.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
"03cfc7c6-bfce-4705-8f52-002f4ebb5236","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","40_1_1","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","BREU","Brickellia eupatorioides (L.) Shinners","species","Asteraceae","N",,,,,,,,3.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
"545efa27-2aa2-4922-9d3f-a68b8a8acf8c","KONZ_042.basePlot.div","D06","KONZ",39.099570,-96.564404,"WGS84",20.19,401.2,0.3,"tower","grasslandHerbaceous","KONZ_042","40_1_3","2025-08-06",1,"KONZ.1.2025","NEON.DOC.014042vM","plantSpecies","Y","Y","AMCA6","Amorpha canescens Pursh","species","Fabaceae","N",,,,,,,,2.00,"N",,,"0000-0002-2135-1091","0009-0007-4206-7018","OK",,"OK - no known exceptions"
